model,init,train_condition,eval_condition,attacker_type,fold_id,subject_auc,subject_acc,subject_bacc,sensitivity,specificity,msp_correct_mean,msp_wrong_mean,nll_correct_mean,nll_wrong_mean,nllpct_correct_mean,nllpct_wrong_mean,n_train_subjects,n_val_subjects,n_train_slices,n_val_slices,lr,weight_decay,patience,num_epochs_max,epochs_trained,best_val_auc,best_val_loss,seed,timestamp,ckpt_path
resnet18,pretrained,gs50,gs50,adaptive,2,0.8646464646464646,0.8392857142857143,0.7626262626262625,0.6363636363636364,0.8888888888888888,0.8147395673309401,0.7154028877850149,0.22149526116166696,1.4044180268673934,81.473956733094,28.459711221498498,222,56,12000,7347,5e-05,0.0001,7,50,8,0.8646464646464646,0.5713413455362978,1337,2026-01-17 10:55:51,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs50/fold_2.pt
resnet18,pretrained,gs50,raw,blind,2,0.406060606060606,0.19642857142857142,0.5,1.0,0.0,0.6813588134820626,0.7005653826548777,0.3854565278562924,1.2285466728499033,68.13588134820627,29.943461734512226,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 10:55:56,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs50/fold_2.pt
densenet121,pretrained,gs50,gs50,adaptive,2,0.8666666666666667,0.7678571428571429,0.7868686868686869,0.8181818181818182,0.7555555555555555,0.775054410886527,0.6443873917527198,0.272402426615552,1.1279988288964817,77.50544108865272,35.56126082472802,222,56,12000,7347,5e-05,0.0001,7,50,2,0.8666666666666667,0.5435087948009886,1337,2026-01-17 11:02:27,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs50/fold_2.pt
densenet121,pretrained,gs50,raw,blind,2,0.5232323232323233,0.8035714285714286,0.5,0.0,1.0,0.9721967314149526,0.9737210674207969,0.02830926539814387,3.674105468881953,97.21967314149525,2.6278932579203103,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 11:02:39,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs50/fold_2.pt
resnet18,pretrained,raw,raw,adaptive,3,0.930232558139535,0.75,0.8372093023255813,1.0,0.6744186046511628,0.8914203869184459,0.8022529331705434,0.12467048644938289,1.8166003958610926,89.14203869184459,19.77470668294566,222,56,12000,7347,5e-05,0.0001,7,50,1,0.930232558139535,0.737542267246493,1337,2026-01-17 11:05:35,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/raw/fold_3.pt
densenet121,pretrained,raw,raw,adaptive,3,0.9266547406082289,0.8928571428571429,0.8497316636851521,0.7692307692307693,0.9302325581395349,0.8341460660329402,0.7067222661408846,0.19877222443196083,1.2963777054649903,83.41460660329403,29.327773385911538,222,56,12000,7347,5e-05,0.0001,7,50,2,0.9266547406082289,0.4095202150015995,1337,2026-01-17 11:12:07,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/raw/fold_3.pt
resnet18,pretrained,gs0,gs0,adaptive,3,0.9141323792486583,0.8035714285714286,0.8184257602862254,0.8461538461538461,0.7906976744186046,0.834521536037352,0.66094748130583,0.1953681145280493,1.126679050397913,83.4521536037352,33.90525186941699,222,56,12000,7347,5e-05,0.0001,7,50,2,0.9141323792486583,0.5067091409502358,1337,2026-01-17 11:22:32,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs0/fold_3.pt
resnet18,pretrained,gs0,raw,blind,3,0.6887298747763865,0.75,0.5957066189624329,0.3076923076923077,0.8837209302325582,0.6761510519733933,0.6149109490255119,0.4031649843640766,0.9816855920205397,67.61510519733932,38.508905097448796,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 11:22:36,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/resnet18/pretrained/gs0/fold_3.pt
densenet121,pretrained,gs0,gs0,adaptive,3,0.9302325581395349,0.8392857142857143,0.8148479427549196,0.7692307692307693,0.8604651162790697,0.827399317886053,0.6293124942789956,0.20281408092834782,1.0128323189436412,82.73993178860532,37.068750572100434,222,56,12000,7347,5e-05,0.0001,7,50,11,0.9302325581395349,0.4602193087339401,1337,2026-01-17 11:35:26,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs0/fold_3.pt
densenet121,pretrained,gs0,raw,blind,3,0.8246869409660107,0.7678571428571429,0.5,0.0,1.0,0.8514499504577483,0.797604860557664,0.1613671862136175,1.6274176238833642,85.14499504577483,20.239513944233618,222,56,12000,7347,5e-05,0.0001,7,50,,,,1337,2026-01-17 11:35:39,/home/jupyter/notebooks/jan26-LearningT/re-id-new/models2/utility/densenet121/pretrained/gs0/fold_3.pt
